title,content,user_name,Label
Value-for-money,Working well after 3 days of using. Battery back up fine for normal usage. I had gifted this to my mom she is happy.Genuine phone in this range segment..,Ankit Singh,REAL
Must buy!,"Nice product according to its budget. But it's hard to play high Graphics games like pubg on 3GB RAM. It lags even when you play at Smooth Graphics settings. If this is for gaming (High graphics game) purpose, then don't go for 3GB or 2 GB RAM and the rest it works very well..",Flipkart Customer,REAL
Super!,"Very nice phone. Good camera, good performance, very nice display,.",Halwin Johnson,REAL
Terrific,"Very good option in entry level segment. Performance is good, battery backup is great. Camera quality is ok in day light conditions, very poor at night.Build quality is appealing, display is very good according to price. Go for it if you want a least priced worth money performance with good battery backup phone, never for a good camera. You won't find other good alternative at this price for sure. My ratings 1. Battery -5/52. Display-3/53. Camera- 2/5 4. Build Quality-4/55. Performanc....",Sivaprasad T S,REAL
Nice,"Accept camera (picture quality). All is good, this is budget phone..",Sumit  Kundu,REAL
Simply awesome,Very good product.,Md Jasim,REAL
Mind-blowing purchase,Worth the money. I love it.,Flipkart Customer,REAL
Great product,Great.,Arpan Bhunia,REAL
Best in the market!,It's really nice 👍.,Khushbu Kumari,REAL
Terrific,This is very good product and  it's cemer quality is best.,Rita Pattanayak,REAL
Awesome,Wounderful.,Arup Dutta,REAL
Great product,I gave this phone to my wife as a gift and she loved it so much that she gets great performance and photos of games.,Yoonas  Nk,REAL
Pretty good,Normal Phone at this budgetComparatively price is little bit higher than other models. Performance is good. For entry level redmi 9A is the best choice.,Mahesh S,REAL
Super!,great mobile❤❤❤❤❤I ordered nature green color 📱📱📱.,Mahasweta Debnath,REAL
Great product,Very nyz product.... Thanku flipkart.....,Athira Lakshmanan,REAL
Brilliant,Not bad.,Flipkart Customer,REAL
Perfect product!,Nice phone.,Shree Niwas,REAL
Just okay,This smart phone I used for 2 month. Batery backup is good But perfomance is slow.,Flipkart Customer,REAL
Good,"After using one month I found that it's processor reacts slowly, camera is average..",niteesh singh,REAL
Value-for-money,nice one value for money👍🏻👍🏻.,Flipkart Customer,REAL
Worth every penny,Nice.,Sandip Gawande,REAL
Terrific,It's nice good mobile phone.,Ramesh  Kundanagar,REAL
Must buy!,In this budget it provides good quality..📷 quality and battery performance also good..Inshort it's budget frndly good phone.,Flipkart Customer,REAL
